School Name	Average Point Score	School Type
Minsthorpe Community College, A Specialist Science College	25.53	Academy converter - mainstream
New College Pontefract	32.34	Sixth Form College
Ackworth School	32.57	Independent school
Ossett Academy and Sixth Form College	28.91	Academy converter - mainstream
Outwood Grange Academy	30.31	Sponsored academy
Queen Elizabeth Grammar School	41.12	Independent school
St Wilfrid's Catholic High School & Sixth Form College: A Voluntary Academy	29.05	Academy converter - mainstream
Silcoates School	35.88	Independent school
Wakefield College	23.17	General Further Education College
Wakefield Girls' High School	39.26	Independent school
Airedale Academy	29.72	Academy converter - mainstream
Castleford Academy	29.72	Academy converter - mainstream
Chellaston Academy	33.79	Academy converter - mainstream
Derby College	23.75	General Further Education College
Derby Grammar School	36.37	Independent school
Derby High School	35.47	Independent school
Derby Manufacturing UTC	29.72	Free school - UTC (university technical college)
Derby Moor Community Sports College	25.07	Foundation school
Landau Forte College	30.79	Sponsored academy
Lees Brook Community School	29.72	Academy converter - mainstream
Littleover Community School	34.57	Community school
Merrill Academy	23.66	Sponsored academy
Noel-Baker School	20.41	Foundation school
Saint Benedict, A Catholic Voluntary Academy	28.34	Academy converter - mainstream
The Bemrose School	11.57	Foundation school
Woodlands School	28.93	Academy converter - mainstream
Chesterfield College	19.86	General Further Education College
David Nieper Academy	29.72	Sponsored academy
Dronfield Henry Fanshawe School	31.1	Voluntary controlled school
The Ecclesbourne School	32.87	Academy converter - mainstream
Eckington School	27.99	Community school
Anthony Gell School	32.36	Voluntary controlled school
Focus School - Long Eaton Campus	31.56	Independent school
Friesland School	25.65	Foundation school
Glossopdale Community College	28.91	Community school
Abbotsholme School	29.7	Independent school
Heanor Gate Science College	30.47	Academy converter - mainstream
Highfields School	32.85	Community school
Hope Valley College	29.72	Academy converter - mainstream
John Port School	29.46	Academy converter - mainstream
Kirk Hallam Community Academy	27.09	Academy converter - mainstream
Lady Manners School	32.99	Foundation school
The Long Eaton School	22.51	Academy converter - mainstream
Mount St Mary's College	30.25	Independent school
Netherthorpe School	24.88	Academy converter - mainstream
New Mills School & Sixth Form	30.36	Community school
Ockbrook School	37.97	Independent school
Ormiston Ilkeston Enterprise Academy	25.74	Sponsored academy
Outwood Academy Newbold	24.68	Sponsored academy
The Pingle School	26.99	Foundation school
Queen Elizabeth's Grammar School	32.42	Academy converter - mainstream
Repton School	43.7	Independent school
The Ripley Academy	22.77	Academy converter - mainstream
Belper School and Sixth Form Centre	25.82	Foundation school
St Mary's Catholic High School, A Catholic Voluntary Academy	37.92	Academy converter - mainstream
Swanwick Hall School	25.6	Community school
Trent College	37.33	Independent school
Tupton Hall School	28.29	Community school
Wilsthorpe Community School	29.73	Community school
Brookfield Academy Trust	30.06	Academy converter - mainstream
Aldercar High School	17.36	Community school
Buxton Community School	31.33	Voluntary controlled school
Alfreton Grange Arts College	10	Community school
Djanogly City Academy	11.11	Sponsored academy
Jamia Al-Hudaa Residential College	29.05	Independent school
New College Nottingham	24.27	General Further Education College
Nottingham Academy	24.33	Sponsored academy
The Nottingham Emmanuel School	24.69	Academy converter - mainstream
Nottingham Free School	29.72	Free school - mainstream
Nottingham Girls' Academy	27.5	Sponsored academy
Nottingham Girls' High School GDST	42.47	Independent school
Nottingham High School	45.66	Independent school
Nottingham University Academy of Science and Technology	35.04	Free school - mainstream
Nottingham University Samworth Academy	29.72	Sponsored academy
Oak Field School and Specialist Sports College	29.72	Community special school
Bilborough College	29.7	Sixth Form College
Top Valley Academy	29.72	Sponsored academy
The Trinity Catholic School A Voluntary Academy	30.52	Academy converter - mainstream
Bluecoat Academy	29.41	Academy converter - mainstream
The Bulwell Academy	10	Sponsored academy
Central College Nottingham	31.18	General Further Education College
All Saints Catholic Voluntary Academy	31.52	Academy converter - mainstream
Chilwell School	32.08	Foundation school
Christ The King Voluntary Academy	24.25	Academy converter - mainstream
Colonel Frank Seely Comprehensive School	29.28	Community school
The Dukeries Academy	21.69	Sponsored academy
East Leake Academy	31.19	Academy converter - mainstream
The Elizabethan Academy	26.93	Academy converter - mainstream
Foxwood Academy	29.72	Academy converter - special school
Garibaldi College	29.76	Community school
George Spencer Academy and Technology College	31.46	Academy converter - mainstream
Hall Park Academy	28.84	Sponsored academy
Arnold Hill Academy	31.89	Academy converter - mainstream
Holgate Academy	23.04	Sponsored academy
Ashfield Comprehensive School	27.81	Academy converter - mainstream
Joseph Whitaker School	33.13	Academy converter - mainstream
The Kimberley School	28.41	Academy converter - mainstream
Kirkby College	15.66	Academy converter - mainstream
Lammas School	29.72	Independent school
Magnus Church of England Academy	19.86	Sponsored academy
The Manor Academy	28.03	Academy converter - mainstream
Meden School	27.34	Sponsored academy
Minster School	32.51	Voluntary aided school
The National CofE Academy	31.18	Academy converter - mainstream
The Newark Academy	23.09	Sponsored academy
Outwood Academy Portland	30.59	Sponsored academy
Outwood Academy Valley	30.58	Sponsored academy
Quarrydale School	28.99	Academy converter - mainstream
Queen Elizabeth's Academy	18.05	Sponsored academy
The Becket School	33.69	Academy converter - mainstream
Redhill Academy	29.27	Academy converter - mainstream
Retford Oaks Academy	23.24	Sponsored academy
Rushcliffe School	34.18	Academy converter - mainstream
Samworth Church Academy	27.12	Sponsored academy
Selston High School	29.72	Community school
Serlby Park Academy	20.86	Sponsored academy
South Nottinghamshire Academy	24.02	Sponsored academy
The South Wolds Academy & Sixth Form	32.33	Academy converter - mainstream
Sutton Community Academy	21.81	Sponsored academy
Toot Hill School	33.77	Academy converter - mainstream
Tuxford Academy	31.29	Academy converter - mainstream
Vision Studio School	29.72	Free school - studio school
Vision West Nottinghamshire College	26.2	General Further Education College
The West Bridgford School	34.98	Academy converter - mainstream
Worksop College	32.86	Independent school
The Brunts Academy	31.85	Academy converter - mainstream
Alderman White School	27.61	Academy converter - mainstream
Carlton Academy	28.41	Sponsored academy
Carlton le Willows Academy	33.96	Academy converter - mainstream
The City of Leicester College	25.46	Community school
Darul Uloom Leicester	29.72	Independent school
English Martyrs Catholic School	30.94	Voluntary aided school
Gateway Sixth Form College	22.67	Sixth Form College
Leicester College co Freemen's Park Campus	21.38	General Further Education College
Leicester High School for Girls	39.62	Independent school
New College Leicester	29.72	Foundation school
Regent College	22.5	Sixth Form College
