School Name	Average Point Score	School Type
The City of Liverpool College	20.42	General Further Education College
Alsop High School Technology & Applied Learning Specialist College	23.5	Community school
The De La Salle Academy	16.48	Sponsored academy
Enterprise South Liverpool Academy	26.1	Sponsored academy
Fazakerley High School	20.31	Community school
Gateacre School	20.45	Community school
Archbishop Beck Catholic Sports College	30.22	Voluntary aided school
Archbishop Blanch School	25.61	Voluntary aided school
Holly Lodge Girls' College	21.13	Community school
King David High School	28.01	Voluntary aided school
King's Leadership Academy, Liverpool	29.72	Sponsored academy
The Academy of St Francis of Assisi	17.28	Sponsored academy
Liverpool College	33	Sponsored academy
Liverpool College International	29.72	Independent school
Liverpool Life Sciences UTC	28.4	Free school - UTC (university technical college)
North Liverpool Academy	20.73	Sponsored academy
Notre Dame Catholic College	27.39	Voluntary aided school
St Edward's College	30.51	Academy converter - mainstream
Bellerive FCJ Catholic College	22.27	Academy converter - mainstream
St Francis Xavier's College	25.25	Academy converter - mainstream
St Hilda's Church of England High School	26.93	Voluntary aided school
St John Bosco Arts College	28.86	Voluntary aided school
The Belvedere Academy	31.64	Sponsored academy
St Julie's Catholic High School	25.7	Voluntary aided school
St Margaret's Church of England Academy	25.42	Academy converter - mainstream
The Studio @ Deyes	29.72	Free school - studio school
The Studio School Liverpool	29.77	Free school - studio school
West Derby School	21.56	Academy converter - mainstream
The Blue Coat School	40.48	Academy converter - mainstream
Broadgreen International School, A Technology College	26.27	Foundation school
Broughton Hall Catholic High School	27.51	Voluntary aided school
Calderstones School	28.72	Community school
Cardinal Heenan Catholic High School	27.89	Voluntary aided school
Chesterfield High School	26.2	Academy converter - mainstream
Christ The King Catholic High School and Sixth Form Centre	28.2	Voluntary aided school
Deyes High School	28.13	Academy converter - mainstream
Formby High School	33.19	Academy converter - mainstream
Holy Family Catholic High School	28.32	Voluntary aided school
Hugh Baird College	17.83	General Further Education College
King George V College	30.73	Sixth Form College
Maghull High School	23.58	Academy converter - mainstream
Maricourt Catholic High School	26.68	Voluntary aided school
Merchant Taylors' Boys' School	39.29	Independent school
Merchant Taylors Girls School	41.79	Independent school
Range High School	31.27	Academy converter - mainstream
Sacred Heart Catholic College	23.45	Voluntary aided school
St Mary's College	34.37	Independent school
St Michael's Church of England High School	22.69	Sponsored academy
Savio Salesian College	29.72	Voluntary aided school
South Sefton College	25.88	Foundation school
Southport College	29.72	General Further Education College
Cowley International College	27.35	Community school
Hope Academy	16.73	Sponsored academy
Rainford High Technology College	29.83	Community school
Rainhill High School	28.94	Foundation school
St Helens College	15.2	General Further Education College
The Sutton Academy	14.72	Sponsored academy
Carmel College	32.33	Sixth Form College
Culcheth High School	10.93	Community school
The Future Tech Studio	6.15	Free school - studio school
Great Sankey High School	28.27	Academy converter - mainstream
King's Leadership Academy Warrington	29.72	Free school - mainstream
Lymm High School	30.98	Academy converter - mainstream
Penketh High School	24.77	Academy converter - mainstream
Priestley College	28	Sixth Form College
Chetham's School of Music	45.23	Independent school
Connell Sixth Form College	22.41	Free school - 16-19
The Co-operative Academy of Manchester	29.72	Sponsored academy
The King David High School	39.83	Academy converter - mainstream
Loreto College	32.73	Sixth Form College
The Manchester College	21.91	General Further Education College
Manchester Communication Academy	29.72	Sponsored academy
Manchester Creative and Media Academy	29.72	Sponsored academy
Manchester Creative and Media Academy	29.72	Sponsored academy
Manchester Creative Studio	29.72	Free school - studio school
Manchester Enterprise Academy	29.72	Sponsored academy
The Manchester Grammar School	45.8	Independent school
Manchester Health Academy	29.72	Sponsored academy
Manchester High School for Girls	47.39	Independent school
Newall Green High School	29.72	Sponsored academy
Parrs Wood High School	29.78	Community school
Pioneer House High School	29.72	Free school - special
St Bede's College	38.01	Independent school
Abbey College Manchester	39.41	Independent school
Trinity CofE High School	29.72	Academy converter - mainstream
Whalley Range 11-18 High School	28.04	Academy converter - mainstream
William Hulme's Grammar School	25.2	Sponsored academy
Withington Girls' School	49.19	Independent school
Xaverian College	30.95	Sixth Form College
The Crompton House Church of England Academy	28.57	Academy converter - mainstream
Greater Manchester Sustainable Engineering UTC	8.21	Free school - UTC (university technical college)
North Chadderton School	28.47	Academy converter - mainstream
The Oldham College	17.14	General Further Education College
Oldham Hulme Grammar School	38.79	Independent school
Oldham Sixth Form College	29.11	Sixth Form College
Salford City College	27.11	General Further Education College
UTC@MediacityUK	29.72	Free school - UTC (university technical college)
Bridgewater School	28.04	Independent school
Cheadle and Marple Sixth Form College	26.17	Sixth Form College
Cheadle Hulme High School	37.58	Academy converter - mainstream
Cheadle Hulme School	41.03	Independent school
Focus School - Stockport Campus	23.48	Independent school
Aquinas College	31.93	Sixth Form College
Hazel Grove High School	28.23	Academy converter - mainstream
Inscape House School	29.72	Non-maintained special school
Stockport Academy	20.66	Sponsored academy
Nelson and Colne College	30.35	General Further Education College
Ormskirk School	27.23	Voluntary controlled school
Our Lady's Catholic College	27.57	Voluntary aided school
Preston College	22.62	General Further Education College
Marlwood School	30.2	Sponsored academy
Patchway Community College	26.53	Academy converter - mainstream
The Ridings Federation Winterbourne International Academy	36.37	Sponsored academy
The Ridings Federation Yate International Academy	12.5	Sponsored academy
Sir Bernard Lovell Academy	26.73	Sponsored academy
South Gloucestershire and Stroud College	24.82	General Further Education College
Bradley Stoke Community School	28	Academy converter - mainstream
Dauntsey's School	41.09	Independent school
Devizes School	30.9	Academy converter - mainstream
Abbeyfield School	28.38	Community school
Focus School - Wilton Campus	31.89	Independent school
The Godolphin School	41.97	Independent school
Hardenhuish School	31.04	Academy converter - mainstream
The John Bentley School	26.62	Academy converter - mainstream
The John of Gaunt School	34.65	Academy converter - mainstream
Kingdown School	30.79	Academy converter - mainstream
Avon Valley College	22.42	Foundation school
Malmesbury School	34.59	Academy converter - mainstream
Marlborough College	42.72	Independent school
Matravers School	25.28	Foundation school
Melksham Oak Community School	29.84	Academy converter - mainstream
Royal Wootton Bassett Academy	37.17	Academy converter - mainstream
St Augustine's Catholic College	32.3	Academy converter - mainstream
St John's Marlborough	32.91	Academy converter - mainstream
St Laurence School	30.67	Academy converter - mainstream
St Mary's School (Snr) and St Margaret's School (Prep)	45.06	Independent school
Salisbury Sixth Form College	25.3	Free school - 16-19
Sarum Academy	20.72	Sponsored academy
Sheldon School	31.19	Academy converter - mainstream
South Wilts Grammar School for Girls	39.83	Academy converter - mainstream
South Wiltshire UTC	29.72	Free school - UTC (university technical college)
Stonar School	29.44	Independent school
Bishop Wordsworth's Grammar School	38.08	Academy converter - mainstream
Bishopstrow College	29.72	Independent school
Warminster School	33.66	Independent school
The Wellington Academy	22.56	Sponsored academy
Wiltshire College	29.72	General Further Education College
North Bristol Post 16 Centre	33.75	
Darwen Aldridge Community Academy	28.89	Sponsored academy
Darwen Aldridge Enterprise Studio	20.74	Free school - studio school
Jamiatul-Ilm Wal-Huda UK School	37.33	Independent school
Markazul Uloom	5.38	Independent school
Queen Elizabeth's Grammar School	30.35	Free school - mainstream
St Mary's College	24.07	Sixth Form College
St Wilfrid's Church of England Academy	30.49	Academy converter - mainstream
Tauheedul Islam Boys' High School	29.72	Free school - mainstream
Tauheedul Islam Girls' High School	35.31	Academy converter - mainstream
Blackburn College	22.32	General Further Education College
Westholme School	38.2	Independent school
St Mary's Catholic Academy	27.75	Academy converter - mainstream
Blackpool and the Fylde College	13.56	General Further Education College
The Blackpool Sixth Form College	30.32	Sixth Form College
Chetwynde School	28.62	Free school - mainstream
Cockermouth School	31.29	Academy converter - mainstream
Dallam School	33.37	Academy converter - mainstream
Energy Coast UTC	4.75	Free school - UTC (university technical college)
Furness College	29.72	General Further Education College
Appleby Grammar School	25.75	Academy converter - mainstream
Kendal College	30	General Further Education College
Keswick School	30.67	Academy converter - mainstream
Kirkbie Kendal School	32	Academy converter - mainstream
Kirkby Stephen Grammar School	30.96	Academy converter - mainstream
Lakes College - West Cumbria	14.32	General Further Education College
The Lakes School	31.23	Community school
Austin Friars	35.72	Independent school
Lime House School	41.73	Independent school
Millom School	19.08	Community school
The Nelson Thomlinson School	31.39	Voluntary controlled school
Netherhall School	25.85	Community school
Newman Catholic School	24.72	Voluntary aided school
Queen Elizabeth Grammar School Penrith	37.01	Academy converter - mainstream
Queen Elizabeth School	33.22	Academy converter - mainstream
The Queen Katherine School	34.76	Academy converter - mainstream
Richard Rose Central Academy	24.53	Sponsored academy
Richard Rose Morton Academy	29.72	Sponsored academy
St Benedict's Catholic High School	29.3	Voluntary aided school
Sedbergh School	33.64	Independent school
Trinity School	30.29	Academy converter - mainstream
Ullswater Community College	28.88	Foundation school
Ulverston Victoria High School	31.68	Community school
West Lakes Academy	28.67	Sponsored academy
The Whitehaven Academy	18.92	Sponsored academy
William Howard School	32.13	Academy converter - mainstream
Windermere School & Windermere Preparatory School	37.3	Independent school
Workington Academy	29.02	Sponsored academy
Caldew School	25.91	Academy converter - mainstream
Carlisle College	20.36	General Further Education College
Central Lancaster High School	16.81	Community school
Clitheroe Royal Grammar School	36.3	Academy converter - mainstream
Eden Boys' School, Preston	29.72	Free school - mainstream
Fleetwood High School	29.72	Foundation school
Focus School - Hornby Campus	29.72	Independent school
Fulwood Academy	23.36	Sponsored academy
Haslingden High School and Sixth Form	28.15	Community school
Heysham High School Sports College	19.28	Community school
ArnoldKEQMS (AKS)	39.37	Independent school
Somervale School Specialist Media Arts College	34.16	Academy converter - mainstream
Wellsway School	35.13	Academy converter - mainstream
Writhlington School	29.08	Academy converter - mainstream
The City Academy Bristol	18.87	Sponsored academy
City of Bristol College	23.11	General Further Education College
Clifton College	41.51	Independent school
Clifton High School	34.74	Independent school
Colston's Girls' School	31.54	Sponsored academy
Colston's School	35.55	Independent school
Cotham School	31.56	Academy converter - mainstream
Include Bristol	29.72	Independent school
Ashton Park School	22.81	Foundation school
Badminton School	47.16	Independent school
Merchants' Academy	17.06	Sponsored academy
St Brendan's Sixth Form College	28.76	Sixth Form College
St Mary Redcliffe and Temple School	33.66	Voluntary aided school
Bristol Brunel Academy	21.33	Sponsored academy
Bristol Cathedral Choir School	35	Sponsored academy
Bristol Free School	29.72	Free school - mainstream
Bristol Grammar School	45.27	Independent school
Bristol Metropolitan Academy	29.72	Sponsored academy
All Saints' Academy, Cheltenham	19.8	Sponsored academy
Cheltenham Bournside School and Sixth Form Centre	28.61	Academy converter - mainstream
Cheltenham College	40.22	Independent school
Cheltenham Ladies' College	48.76	Independent school
Chipping Campden School	27.57	Academy converter - mainstream
Chosen Hill School	25.48	Academy converter - mainstream
Churchdown School	25.84	Academy converter - mainstream
Cirencester College	31.63	Sixth Form College
Cleeve School	30.54	Academy converter - mainstream
The Cotswold Academy	35.26	Academy converter - mainstream
The Crypt School	36.09	Academy converter - mainstream
Dean Close School	40.45	Independent school
Farmor's School	34.41	Academy converter - mainstream
Focus School - Gloucester Campus	23.01	Independent school
Focus School-Berkeley Campus	38.75	Independent school
Gloucester Academy	8.72	Sponsored academy
Gloucestershire College	21.1	General Further Education College
Archway School	28.99	Community school
Hartpury College	27.08	Agriculture and Horticulture College
High School for Girls	38.87	Academy converter - mainstream
Katharine Lady Berkeley's School	33.03	Academy converter - mainstream
The King's School, Gloucester	40.12	Independent school
Marling School	34.76	Academy converter - mainstream
Balcarras School	33.71	Academy converter - mainstream
Millbrook Academy	29.53	Sponsored academy
Newent Community School and Sixth Form Centre	24.31	Academy converter - mainstream
Pate's Grammar School	47.53	Academy converter - mainstream
Beaufort Co-operative Academy	20.61	Sponsored academy
Rednock School	29.76	Foundation school
Rendcomb College	38.52	Independent school
Ribston Hall High School	30.15	Academy converter - mainstream
St Edward's School	35.74	Independent school
St Peter's Catholic High School and Sixth Form Centre	28.43	Academy converter - mainstream
Sir Thomas Rich's School	40.69	Academy converter - mainstream
Stroud High School	37.32	Academy converter - mainstream
Tewkesbury School	28.98	Academy converter - mainstream
Westonbirt School	33.03	Independent school
Wycliffe College	34.77	Independent school
Wyedean School and 6th Form Centre	31.16	Academy converter - mainstream
Wynstones School	36.24	Independent school
Churchill Academy	31.48	Academy converter - mainstream
Clevedon School	31.21	Academy converter - mainstream
Gordano School	30.74	Academy converter - mainstream
Backwell School	33.16	Academy converter - mainstream
Nailsea School	27.92	Academy converter - mainstream
North Somerset Enterprise and Technology College	21.06	Free school - mainstream
St Katherine's School	25.75	Community school
Sidcot School	35.98	Independent school
Weston College	24.88	General Further Education College
Chipping Sodbury School	28.13	Foundation school
Digitech Studio School	29.72	Free school - studio school
Downend School	32.63	Academy converter - mainstream
Abbeywood Community School	25.96	Sponsored academy
The Grange School and Sports College	8.69	Community school
Hanham Woods Academy	27.84	Sponsored academy
John Cabot Academy	25.18	Sponsored academy
Ashwicke Hall School	29.72	Independent school
King's Oak Academy	18.33	Sponsored academy
Mangotsfield School	29.01	Sponsored academy
Brimsham Green School	24.78	Community school
Bristol Technology and Engineering Academy	17.54	Free school - UTC (university technical college)
The Castle School	33.89	Academy converter - mainstream
The Commonweal School	28.94	Academy converter - mainstream
Lydiard Park Academy	26.78	Academy converter - mainstream
Maranatha Christian School	29.72	Independent school
New College Swindon	25.84	General Further Education College
The Ridgeway School & Sixth Form College	31.69	Academy converter - mainstream
St Joseph's Catholic College	24.82	Academy converter - mainstream
Swindon Academy	30.11	Sponsored academy
Swindon College	15.71	General Further Education College
UTC Swindon	19.41	Free school - UTC (university technical college)
The Clarendon Academy	25.17	Sponsored academy
The Corsham School	32.37	Academy converter - mainstream
All Saints Church of England Academy	23.42	Sponsored academy
City College Plymouth	21.52	General Further Education College
Coombe Dean School Academy Trust	25.94	Academy converter - mainstream
Devonport High School for Boys	33.03	Academy converter - mainstream
Devonport High School for Girls	36.98	Academy converter - mainstream
Eggbuckland Community College	23.77	Academy converter - mainstream
Focus School - Plymouth Campus	29.72	Independent school
Hele's Trust	29.52	Academy converter - mainstream
Lipson Co-operative Academy	25.97	Academy converter - mainstream
Marine Academy Plymouth	16.21	Sponsored academy
Notre Dame RC School	26.64	Academy converter - mainstream
Plymouth College	36.79	Independent school
Plymouth High School for Girls	33.35	Community school
Plymouth Studio School	29.72	Free school - studio school
Plymstock School	28.66	Academy converter - mainstream
Ridgeway School	27.62	Academy converter - mainstream
St Boniface's RC College	23.05	Sponsored academy
Sir John Hunt Community Sports College	25.46	Foundation school
Stoke Damerel Community College	23.77	Academy converter - mainstream
Corfe Hills School	26.27	Academy converter - mainstream
Magna Academy	25.9	Sponsored academy
Parkstone Grammar School	39.07	Academy converter - mainstream
Poole Grammar School	33.5	Academy converter - mainstream
Poole High School	24.25	Foundation school
St Aldhelm's Academy	29.72	Sponsored academy
St Edward's Roman Catholic/Church of England School, Poole	27.79	Voluntary aided school
The Bournemouth and Poole College	20.9	General Further Education College
Canford School	43.46	Independent school
Downside School	41.34	Independent school
Frome Community College	30.85	Community school
Heathfield Community School	52	Community school
Holyrood Academy	27.57	Academy converter - mainstream
Huish Episcopi Academy	31.92	Academy converter - mainstream
The King Alfred School	28.67	Community school
King's Bruton	36.72	Independent school
King's College	36.4	Independent school
The Kings of Wessex Academy	33.04	Academy converter - mainstream
Mark College	29.72	Independent special school
Millfield School	35.27	Independent school
The Park School	30.76	Independent school
Queen's College	35.71	Independent school
Richard Huish College	32.3	Sixth Form College
Sexey's School	35.16	Academy converter - mainstream
Strode College	31.63	General Further Education College
The Taunton Academy	29.72	Sponsored academy
Taunton School	37.06	Independent school
Wadham School	28.9	Voluntary controlled school
Wellington School	37.91	Independent school
Wells Cathedral School	38.65	Independent school
West Somerset College	29.21	Academy converter - mainstream
The Blue School	35.01	Academy converter - mainstream
Yeovil College	24.03	General Further Education College
Bridgwater and Taunton College	23.6	General Further Education College
Bruton School for Girls	40.64	Independent school
Brymore Academy	29.72	Sponsored academy
The Castle School	29.72	Academy converter - mainstream
Churston Ferrers Grammar School Academy	34.56	Academy converter - mainstream
Devon Studio School	29.72	Free school - studio school
EF Academy Torbay	29.35	Independent school
Paignton Community and Sports Academy	13.03	Academy converter - mainstream
St Cuthbert Mayne School	25.67	Voluntary aided school
South Devon College	27.07	General Further Education College
The Spires College	21.24	Foundation school
Torquay Academy	18.93	Sponsored academy
Torquay Boys' Grammar School	39.07	Academy converter - mainstream
Torquay Girls Grammar School	42.5	Academy converter - mainstream
Brixham College	22.88	Academy converter - mainstream
Chew Valley School	30.11	Community school
Hayesfield Girls School	33.39	Academy converter - mainstream
The IKB Studio School	29.72	Free school - studio school
King Edward's School	46.02	Independent school
Kingswood School	44.12	Independent school
Mendip Studio School	29.72	Free school - studio school
Monkton Senior School	38.87	Independent school
Norton Hill Academy	30.24	Academy converter - mainstream
Oldfield School	24.56	Academy converter - mainstream
Bath Academy	32.31	Independent school
Bath College	29.72	General Further Education College
Bath Community Academy	29.72	Sponsored academy
The Bath Studio School	28.49	Free school - studio school
Prior Park College	38.69	Independent school
Ralph Allen School	32.58	Academy converter - mainstream
Beechen Cliff School	30.25	Academy converter - mainstream
Royal High School GDST	43.7	Independent school
Saint Gregory's Catholic College	27.79	Voluntary aided school
St Mark's CofE School	34.06	Voluntary aided school
Oasis Academy Brightstowe	29.72	Sponsored academy
Oasis Academy Brislington	29.72	Sponsored academy
Oasis Academy John Williams	20.37	Sponsored academy
Queen Elizabeth's Hospital	43.68	Independent school
The Red Maids' School	41.05	Independent school
Redland Green School	35.74	Academy converter - mainstream
Redland High School for Girls	43.52	Independent school
St Bede's Catholic College	28.86	Academy converter - mainstream
MidKent College	19.34	General Further Education College
Rainham Mark Grammar School	32.62	Academy converter - mainstream
Rainham School for Girls	24.87	Academy converter - mainstream
The Robert Napier School	18.05	Sponsored academy
The Bourne Academy	18.27	Sponsored academy
Bournemouth Collegiate School	33.6	Independent school
Bournemouth School	35.51	Academy converter - mainstream
Bournemouth School for Girls	38.69	Academy converter - mainstream
Cornwall College	27.48	General Further Education College
Falmouth School	30.16	Academy converter - mainstream
Helston Community College	30.47	Foundation school
Launceston College	30.18	Academy converter - mainstream
Liskeard School and Community College	29.64	Foundation school
Newquay Tretherras	29.94	Academy converter - mainstream
Redruth School	23.56	Foundation school
Saltash.net community school	28.39	Academy converter - mainstream
Torpoint Community College	25.86	Foundation school
Treviglas Community College	30.6	Community school
Truro and Penwith College	34.32	General Further Education College
Truro High School	40.59	Independent school
Truro School	38.65	Independent school
Wadebridge School	34.75	Academy converter - mainstream
Bodmin College	26.37	Academy converter - mainstream
Budehaven Community School	33.81	Foundation school
Callington Community College	29.75	Academy converter - mainstream
Camborne Science and International Academy	30.47	Academy converter - mainstream
Clyst Vale Community College	29.42	Academy converter - mainstream
Colyton Grammar School	44.97	Academy converter - mainstream
Coombeshead Academy	23.45	Academy converter - mainstream
Dartmouth Academy	18.59	Sponsored academy
Exeter College	31.25	General Further Education College
Exeter Mathematics School	43.35	Free school - 16-19
Exeter School	43.59	Independent school
Exeter Tutorial College	39.69	Independent school
Exmouth Community College	27.89	Academy converter - mainstream
Honiton Community College	22.51	Academy converter - mainstream
The Ilfracombe Church of England Academy	25.58	Sponsored academy
Ivybridge Community College	29.9	Academy converter - mainstream
King Edward VI Community College	32.07	Foundation school
The King's School	32.79	Academy converter - mainstream
Kingsbridge Academy	34.4	Academy converter - mainstream
Kingsley School	32.46	Independent school
Atrium Studio School	29.72	Free school - studio school
The Axe Valley Community College	23.51	Community school
Magdalen Court School	29.72	Independent school
The Maynard School	43.05	Independent school
Mount Kelly	31.64	Independent school
Newton Abbot College	29.03	Academy converter - mainstream
Okehampton College	31.97	Foundation school
Petroc	28.22	General Further Education College
Queen Elizabeth's	30.66	Academy converter - mainstream
Route 39 Academy	29.72	Free school - mainstream
St John's International School	29.72	Independent school
Bideford College	26.42	Foundation school
Bideford College	29.72	Sponsored academy
Shebbear College	32.97	Independent school
Sidmouth College	27.23	Community school
South Dartmoor Community College	31.69	Academy converter - mainstream
South Devon UTC	29.72	Free school - UTC (university technical college)
Stover School	28.35	Independent school
Tavistock College	29.79	Foundation school
Teign School	27.6	Academy converter - mainstream
Teignmouth Community School, Exeter Road	28.73	Academy converter - mainstream
Trinity School	28.63	Independent school
West Buckland School	36.78	Independent school
Blundell's School	38.56	Independent school
Bramdean School	29.72	Independent school
Clayesmore School	33.24	Independent school
Dorset Studio School	29.72	Free school - studio school
Ferndown Upper School	26.26	Community school
Gillingham School	31.53	Voluntary controlled school
The Grange School	29.72	Sponsored academy
The Gryphon School	32.54	Academy converter - mainstream
Highcliffe School	32.99	Academy converter - mainstream
Isle of Portland Aldridge Community Academy	15	Sponsored academy
Kingston Maurward College	29.72	Agriculture and Horticulture College
Leweston School	41.59	Independent school
Lytchett Minster School	29.79	Foundation school
Milton Abbey School	21.48	Independent school
Beaminster School	34.33	Voluntary controlled school
The Purbeck School	28.12	Community school
Queen Elizabeth's School	27.18	Academy converter - mainstream
Ringwood Waldorf School	29.72	Independent school
St Mary's School	41.2	Independent school
Shaftesbury School	29.23	Academy converter - mainstream
Sherborne School	41.35	Independent school
Sherborne School for Girls	38.74	Independent school
The Sir John Colfox School	23.47	Academy converter - mainstream
The Thomas Hardye School	33.08	Academy converter - mainstream
Twynham School	31.48	Academy converter - mainstream
The Blandford School	28.59	Voluntary controlled school
Weymouth College	23.54	General Further Education College
The Woodroffe School	30.31	Foundation school
Bryanston School	40.32	Independent school
Budmouth College	26.45	Foundation school
Tor Bridge High	22.51	Academy converter - mainstream
UTC Plymouth	12.47	Free school - UTC (university technical college)
The Judd School	44.6	Voluntary aided school
Kent College (Canterbury)	40.78	Independent school
Kent College Pembury	39.06	Independent school
The King's School Canterbury	43.59	Independent school
Astor College (A Specialist College for the Arts)	14.73	Academy converter - mainstream
Knole Academy	26.77	Sponsored academy
The Leigh Academy	19.83	Sponsored academy
The Leigh UTC	20.77	Free school - UTC (university technical college)
Longfield Academy	27.81	Sponsored academy
Aylesford School - Sports College	16.89	Foundation school
Maidstone Grammar School	35.89	Foundation school
Maidstone Grammar School for Girls	34.54	Foundation school
The Norton Knatchbull School	30.97	Academy converter - mainstream
Oakwood Park Grammar School	32.32	Academy converter - mainstream
Oasis Academy Hextable	13.33	Sponsored academy
Oasis Academy Isle of Sheppey	18.95	Sponsored academy
Barton Court Grammar School	33.65	Academy converter - mainstream
Orchards Academy	29.72	Academy converter - mainstream
Pent Valley Technology College	13.48	Foundation school
Queen Elizabeth's Grammar School	32.36	Academy converter - mainstream
Radnor House Sevenoaks	29.61	Independent school
The Royal Harbour Academy	29.72	Foundation school
Sackville School	31.38	Independent school
Beechwood Sacred Heart School	33.03	Independent school
St Anselm's Catholic School, Canterbury	20.58	Academy converter - mainstream
St Augustine Academy	29.72	Sponsored academy
St Edmund's Catholic School	14.27	Voluntary aided school
St Edmund's Catholic School	29.72	Sponsored academy
St Edmund's School Canterbury	36.45	Independent school
St George's Church of England Foundation School	17.8	Foundation school
Saint George's Church of England School	28.24	Academy converter - mainstream
St Gregory's Catholic School	30.84	Academy converter - mainstream
St John's Catholic Comprehensive	24.84	Voluntary aided school
Benenden School	47.71	Independent school
Bennett Memorial Diocesan School	31.88	Academy converter - mainstream
St Lawrence College	33.19	Independent school
Bethany School	29.44	Independent school
St Simon Stock Catholic School	33.21	Academy converter - mainstream
Sandwich Technology School	23.71	Academy converter - mainstream
SchoolsCompany The Goodwin Academy	18.48	Sponsored academy
Sevenoaks School	49.99	Independent school
Simon Langton Girls' Grammar School	34.33	Voluntary controlled school
Simon Langton Grammar School for Boys	35.49	Foundation school
Sir Roger Manwood's School	35.03	Academy converter - mainstream
Sittingbourne Community College	25.26	Sponsored academy
Skinners' Kent Academy	24.83	Sponsored academy
The Skinners' School	43.77	Academy converter - mainstream
Spires Academy	29.72	Sponsored academy
Sutton Valence School	38.84	Independent school
Swadelands School	29.72	Community school
Tonbridge Grammar School	44.97	Academy converter - mainstream
Tonbridge School	48.34	Independent school
Towers School and Sixth Form Centre	21.48	Academy converter - mainstream
Trinity School	29.72	Free school - mainstream
Tunbridge Wells Girls' Grammar School	42.02	Foundation school
Tunbridge Wells Grammar School for Boys	32.42	Community school
Ursuline College, Westgate-On-Sea	19.93	Academy converter - mainstream
Valley Park School	26.46	Academy converter - mainstream
Walthamstow Hall	43.2	Independent school
Weald of Kent Grammar School	39.17	Academy converter - mainstream
West Kent and Ashford College	20.97	General Further Education College
Westlands School	27.03	Academy converter - mainstream
Wilmington Academy	22.31	Sponsored academy
Wilmington Grammar School for Boys	29.65	Academy converter - mainstream
Wilmington Grammar School for Girls	31.53	Academy converter - mainstream
Borden Grammar School	26.91	Academy converter - mainstream
Wrotham School	25.01	Academy converter - mainstream
Wye School	29.72	Free school - mainstream
Brockhill Park Performing Arts College	20.01	Academy converter - mainstream
Broomhill Bank School	29.72	Foundation special school
The Canterbury Academy	19.11	Academy converter - mainstream
Canterbury College	22.83	General Further Education College
Chatham Grammar School for Boys	29.77	Academy converter - mainstream
Chatham Grammar School for Girls	34.2	Academy converter - mainstream
Fort Pitt Grammar School	29.84	Academy converter - mainstream
Greenacre School	18.31	Academy converter - mainstream
The Howard School	21.87	Academy converter - mainstream
The Hundred of Hoo Academy	26.29	Sponsored academy
King's School, Rochester	36.04	Independent school
Medway UTC	29.72	Free school - UTC (university technical college)
The Rochester Grammar School	42.7	Academy converter - mainstream
Rochester Independent College	35.47	Independent school
St John Fisher Catholic Comprehensive School	20.88	Voluntary aided school
Sir Joseph Williamson's Mathematical School	38.23	Academy converter - mainstream
Strood Academy	19.45	Sponsored academy
The Thomas Aveling School	24.89	Academy converter - mainstream
The Victory Academy	21.58	Sponsored academy
Walderslade Girls' School	21.58	Academy converter - mainstream
Brompton Academy	22.33	Sponsored academy
PGW Partnership of Greenacre and Walderslade	20.49	
Kings Bournemouth	42.19	Independent school
LeAF Studio	24.25	Free school - studio school
Avonbourne College	29.44	Academy converter - mainstream
Oak Academy	16.23	Academy converter - mainstream
Parkfield School	29.72	Free school - mainstream
St Peter's Catholic Comprehensive School	28.26	Academy converter - mainstream
The Bishop of Winchester Academy	23.43	Sponsored academy
Talbot Heath School	36.45	Independent school
Slindon College	29.72	Independent school
Bishop Luffa School, Chichester	34.82	Academy converter - mainstream
Steyning Grammar School	31.86	Voluntary controlled school
Thomas Bennett Community College	21.47	Academy converter - mainstream
Weald School, the	34.25	Community school
Worth School	39.01	Independent school
Worthing College	29.6	General Further Education College
Burgess Hill Girls	43.66	Independent school
Chichester High Schools Sixth Form	28.71	
City College Brighton and Hove	32.66	General Further Education College
Hove Park School and Sixth Form Centre	24.31	Community school
King's School	29.72	Free school - mainstream
Portslade Aldridge Community Academy	19.05	Sponsored academy
Roedean School	44.11	Independent school
Bellerbys College Brighton	36.21	Independent school
Varndean College	34.22	Sixth Form College
Blatchington Mill School and Sixth Form College	24.56	Community school
Brighton Aldridge Community Academy	17.06	Sponsored academy
Brighton and Hove High School	43.28	Independent school
Claremont School	29.47	Independent school
Eastbourne College	40.83	Independent school
Gildredge House	29.72	Free school - mainstream
Greenfields School	29.72	Independent school
Hailsham Community College	31.86	Academy converter - mainstream
Ark Helenswood Academy	31.46	Academy converter - mainstream
Heathfield Community College	31.65	Community school
Ark William Parker Academy	31.45	Sponsored academy
Lewes Old Grammar School	30.41	Independent school
Mayfield School	39.89	Independent school
Michael Hall School	37.91	Independent school
Moira House Girls' School	35.08	Independent school
Battle Abbey School	35.48	Independent school
Beacon Academy	27.57	Academy converter - mainstream
Plumpton College	29.72	Agriculture and Horticulture College
Bede's Senior School	41.49	Independent school
Ringmer Community College	22.45	Academy converter - mainstream
Rye Studio School	33.08	Free school - studio school
Bexhill College	26.6	Sixth Form College
Seaford Head School	28.53	Academy converter - mainstream
Sussex Coast College Hastings	24.28	General Further Education College
Sussex Downs College	28.95	General Further Education College
Uckfield Community Technology College	31.85	Community school
Uplands Community College	27.71	Community school
UTC@harbourside	29.72	Free school - UTC (university technical college)
Buckswood School	32.48	Independent school
